feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,value
9.2039,12.105,11.728,11.19,4.8189,11.992,10.852,10.055,9.3927,11.859,11.516,13.298,2.3683,10.129,3.4511,9.5955,8.5245,11.308,10.754,10.401,4.475,10.669,10.276,9.5921,8.9601,11.28,10.988,12.995,2.0828,8.8315,3.2045,9.0054,7
9.2998,11.889,11.531,11.092,4.8067,11.711,10.879,10.163,9.5016,11.825,11.59,13.313,2.3034,9.8777,3.5112,9.5955,8.5594,11.28,10.809,10.592,4.4921,10.577,10.3,9.8701,9.2945,11.35,11.14,12.982,2.121,9.2598,3.2044,9.3637,7
9.1385,11.852,11.715,11.086,4.9138,11.933,10.853,10.145,9.6463,11.895,11.932,13.405,2.2976,10.111,3.4934,9.7192,8.5927,11.331,10.955,10.502,4.529,10.562,10.364,9.8724,9.2559,11.469,11.395,13.07,2.1353,8.931,3.2284,9.4959,7
8.9999,11.824,11.35,11.135,4.8247,11.53,10.843,10.121,9.6947,11.91,11.824,13.405,2.3511,10.13,3.53,9.7981,8.6877,11.34,11.048,10.744,4.5438,10.749,10.424,9.8696,9.4682,11.612,11.433,13.058,2.1843,9.0222,3.2385,9.6315,7
9.088,11.902,11.436,11.131,4.8403,11.693,10.787,10.116,9.6642,12.008,11.841,13.547,2.349,10.279,3.5261,9.9802,8.582,11.266,10.878,10.642,4.4878,11.085,10.384,9.9804,9.4536,11.601,11.489,13.042,2.1567,9.1114,3.1271,9.6988,7
9.1569,11.744,11.43,11.204,4.8787,11.847,10.863,10.228,9.641,11.991,11.986,13.663,2.3337,9.8437,3.5697,10.067,8.4916,11.005,10.937,10.792,4.5029,10.994,10.518,10.022,8.8188,11.59,11.667,13.072,2.1815,9.1985,3.094,9.788,7
9.2779,11.547,11.444,11.566,4.8799,12.13,11.16,10.435,9.7742,12.101,12.374,13.686,2.5199,10.28,3.4089,9.5439,8.8178,10.906,10.855,11.023,4.3121,11.505,10.674,9.7758,9.4494,11.436,11.531,13.145,2.1356,8.2624,3.1555,9.2323,8
9.3087,11.615,11.581,11.683,4.8542,12.321,11.085,10.336,9.6481,11.785,12.241,13.759,2.3212,10.411,4.0809,9.4638,9.0877,11.26,11.134,10.75,4.1921,11.491,10.811,10.127,9.4075,11.31,11.246,13.272,2.1632,8.2741,3.0238,8.9976,8
9.4859,11.749,11.785,11.605,4.8621,11.924,11.146,10.369,9.7441,11.735,12.141,13.675,2.3976,10.455,4.2559,9.3401,9.1259,11.234,11.406,11.053,4.198,11.359,10.918,10.141,9.5137,11.391,11.235,13.231,2.0966,8.7993,3.189,9.0267,8
9.5847,11.766,11.732,11.586,4.8905,12.119,11.332,10.276,9.7016,11.975,12.024,13.53,2.3569,10.537,4.3349,9.3844,9.1079,11.267,11.343,10.85,4.1426,11.345,10.86,10.093,9.4319,11.084,11.306,13.17,2.0987,8.7916,3.2556,9.1054,8
9.577,11.804,11.741,11.691,4.8467,11.905,11.258,10.357,9.6698,11.971,12.079,13.561,2.2956,10.505,4.3373,9.2958,9.3714,11.346,11.361,10.918,4.128,11.028,10.356,10.071,9.4211,11.083,11.183,13.215,2.1307,8.9197,3.2199,9.0342,8
